Dist Code,Year,State Code,State Name,Dist Name,JANUARY NORMAL RAINFALL (Millimeters),FEBRUARY NORMAL RAINFALL (Millimeters),MARCH NORMAL RAINFALL (Millimeters),APRIL NORMAL RAINFALL (Millimeters),MAY NORMAL RAINFALL (Millimeters),JUNE NORMAL RAINFALL (Millimeters),JULY NORMAL RAINFALL (Millimeters),AUGUST NORMAL RAINFALL (Millimeters),SEPTEMBER NORMAL RAINFALL (Millimeters),OCTOBER NORMAL RAINFALL (Millimeters),NOVEMBER NORMAL RAINFALL (Millimeters),DECEMBER NORMAL RAINFALL (Millimeters),ANNUAL NORMAL RAINFALL (Millimeters)
1,Average 30 years,14,Chhattisgarh,Durg,16,27,19,19,21,200,340,344,212,61,14,4,1277
2,Average 30 years,14,Chhattisgarh,Bastar,5,15,17,51,66,212,398,381,246,116,24,4,1535
3,Average 30 years,14,Chhattisgarh,Raipur,12,20,23,15,17,194,392,394,249,62,8,2,1388
4,Average 30 years,14,Chhattisgarh,Bilaspur,17,30,22,17,18,191,381,387,194,52,13,5,1327
5,Average 30 years,14,Chhattisgarh,Raigarh,18,16,21,8,14,168,475,508,341,57,1,1,1628
6,Average 30 years,14,Chhattisgarh,Surguja,22,22,21,9,15,143,435,465,224,47,1,2,1406
7,Average 30 years,6,Madhya Pradesh,Jabalpur,26,22,15,9,15,170,505,401,212,50,17,5,1447
8,Average 30 years,6,Madhya Pradesh,Balaghat,20,35,25,19,14,191,508,450,126,61,16,9,1474
9,Average 30 years,6,Madhya Pradesh,Chhindwara,23,2,13,13,13,146,319,283,188,69,22,3,1094
10,Average 30 years,6,Madhya Pradesh,Narsinghpur,28,18,13,10,15,177,567,474,292,66,24,5,1690
11,Average 30 years,6,Madhya Pradesh,Seoni,25,24,23,21,23,207,479,345,194,76,25,5,1447
12,Average 30 years,6,Madhya Pradesh,Mandla,29,15,28,16,8,132,480,420,214,71,9,3,1425
13,Average 30 years,6,Madhya Pradesh,Sagar,30,13,10,4,8,145,463,419,228,44,24,7,1395
14,Average 30 years,6,Madhya Pradesh,Damoh,22,16,11,7,11,119,392,363,209,39,19,10,1218
15,Average 30 years,6,Madhya Pradesh,Tikamgarh,22,15,10,3,8,108,351,344,190,31,12,7,1100
16,Average 30 years,6,Madhya Pradesh,Chhatarpur,23,17,8,2,7,90,342,341,169,29,10,6,1044
17,Average 30 years,6,Madhya Pradesh,Panna,31,21,13,8,10,124,377,346,192,42,15,7,1186
18,Average 30 years,6,Madhya Pradesh,Rewa,20,19,11,4,6,109,354,329,184,27,11,5,1079
19,Average 30 years,6,Madhya Pradesh,Sidhi,24,23,16,7,10,123,353,354,207,42,10,5,1174
20,Average 30 years,6,Madhya Pradesh,Satna,36,23,14,10,11,126,356,320,176,47,13,6,1138
21,Average 30 years,6,Madhya Pradesh,Shahdol,33,27,21,12,12,151,401,393,216,50,14,6,1335
22,Average 30 years,6,Madhya Pradesh,Gwalior,18,8,8,3,9,84,274,259,192,35,2,8,900
23,Average 30 years,6,Madhya Pradesh,Shivpuri,20,9,10,4,12,120,382,371,200,28,13,8,1179
24,Average 30 years,6,Madhya Pradesh,Guna,20,9,11,5,14,130,389,382,214,24,15,9,1222
25,Average 30 years,6,Madhya Pradesh,Datia,18,11,9,3,8,97,293,299,187,36,4,7,973
26,Average 30 years,6,Madhya Pradesh,Morena,15,6,9,2,10,71,306,350,112,39,4,3,927
27,Average 30 years,6,Madhya Pradesh,Bhind,10,5,15,9,9,143,343,295,235,59,20,3,1148
28,Average 30 years,6,Madhya Pradesh,Indore,8,1,4,4,13,147,316,267,221,48,22,3,1054
29,Average 30 years,6,Madhya Pradesh,Ratlam,10,2,3,2,12,98,311,342,237,58,3,0,1078
30,Average 30 years,6,Madhya Pradesh,Ujjain,11,2,4,3,11,123,335,318,220,46,13,3,1088
31,Average 30 years,6,Madhya Pradesh,Mandsaur,11,3,4,3,6,108,319,301,164,31,9,2,962
32,Average 30 years,6,Madhya Pradesh,Dewas,10,2,7,4,11,142,343,273,218,44,21,4,1079
33,Average 30 years,6,Madhya Pradesh,Dhar,7,1,1,2,11,140,289,225,186,32,17,4,915
34,Average 30 years,6,Madhya Pradesh,Jhabua,3,1,2,1,9,112,253,201,150,25,8,3,768
35,Average 30 years,6,Madhya Pradesh,Khargone,6,2,3,2,12,139,273,208,178,40,22,4,888
36,Average 30 years,6,Madhya Pradesh,Khandwa,8,4,6,2,10,143,310,216,186,45,27,4,961
37,Average 30 years,6,Madhya Pradesh,Sehore,13,4,9,4,10,139,394,306,229,39,17,6,1169
38,Average 30 years,6,Madhya Pradesh,Raisen,24,14,10,5,11,161,544,457,293,49,20,6,1595
39,Average 30 years,6,Madhya Pradesh,Vidisha,23,10,10,4,11,141,449,385,237,36,18,8,1331
40,Average 30 years,6,Madhya Pradesh,Betul,8,2,18,10,9,138,320,296,240,68,19,1,1129
41,Average 30 years,6,Madhya Pradesh,Rajgarh,16,5,8,4,11,129,389,336,209,32,14,7,1157
42,Average 30 years,6,Madhya Pradesh,Shajapur,13,3,6,4,11,133,365,309,216,38,16,5,1117
