iter	Passed	Remaining
0	313	375799
1	846	507052
2	1260	502811
3	1658	495823
4	2074	495899
5	2280	453849
6	2720	463714
7	2812	419102
8	3301	436837
9	3768	448416
10	4092	442407
11	4644	459766
12	4758	434528
13	5023	425575
14	5528	436783
15	6010	444764
16	6426	447231
17	6830	448538
18	7317	454835
19	7759	457802
20	7927	445075
21	8335	446310
22	8698	445131
23	8860	434146
24	9356	439758
25	9881	446206
26	10017	435183
27	10583	442986
28	10745	433901
29	11124	433844
30	11576	436562
31	11732	428228
32	12057	426413
33	12382	424657
34	12830	427060
35	13355	431834
36	13789	433427
37	14119	431744
38	14382	428155
39	14700	426300
40	14733	416481
41	15235	420073
42	15645	420966
43	15678	411912
44	16102	413290
45	16684	418570
46	16826	412777
47	17351	416430
48	17787	417816
49	17828	410057
50	18354	413511
51	18374	405660
52	18844	407829
53	19233	408177
54	19593	407909
55	19991	408405
56	20431	409704
57	20879	411116
58	21305	412032
59	21698	412264
60	22112	412889
61	22699	416645
62	24018	433479
63	24221	429933
64	26157	456749
65	26506	455433
66	26544	448884
67	26965	448901
68	27536	451360
69	27948	451172
70	28404	451669
71	28849	451973
72	29317	452618
73	29458	448249
74	29886	448293
75	30267	447642
76	30778	448885
77	31241	449395
78	31465	446494
79	31963	447483
80	32049	442762
81	32526	443464
82	32922	443064
83	33414	443932
84	33478	439163
85	33918	439358
86	34383	439868
87	34878	440743
88	35244	439964
89	35616	439268
90	35929	437863
91	36158	435469
92	36344	432619
93	36638	431083
94	36659	426412
95	36908	424449
96	37430	425622
97	37907	426266
98	38382	426857
99	38402	422430
100	38935	423667
101	39393	424057
102	39436	420022
103	39943	420944
104	40402	421340
105	40984	422989
106	41349	422381
107	41835	423007
108	42300	423391
109	42797	424087
110	43291	424726
111	43310	420734
112	43345	416959
113	43856	417786
114	44292	417888
115	44716	417867
116	44859	415241
117	45282	415213
118	45303	411537
119	45712	411413
120	45777	408218
121	45830	404964
122	45981	402614
123	46503	403528
124	46929	403596
125	47284	403040
126	47335	399931
127	47670	399243
128	48152	399777
129	48705	400882
130	48896	399014
131	49305	398926
132	49760	399207
133	50188	399257
134	50621	399344
135	50763	397150
136	51153	396905
137	51587	397001
138	52129	397908
139	57695	436837
140	57714	433474
141	57802	430671
142	58229	430407
143	58624	429912
144	59015	429385
145	59056	426338
146	59471	426008
147	59884	425665
148	60180	424491
149	60554	423881
150	61044	424077
151	61488	423946
152	61922	423745
153	61990	421054
154	67082	452263
155	67334	450625
156	67677	449602
157	68146	449424
158	68529	448675
159	68741	446821
160	69303	447242
161	69828	447419
162	70231	446809
163	70686	446531
164	71113	446074
165	71612	446069
166	72118	446095
167	72149	443204
168	72622	443039
169	73101	442907
170	73592	442845
171	74032	442474
172	74495	442235
173	74948	441937
174	75354	441363
175	75874	441449
176	76276	440851
177	76605	439833
178	76981	439094
179	77473	439017
180	77965	438933
181	78387	438454
182	78778	437799
183	79255	437629
184	79735	437467
185	80177	437097
186	80658	436935
187	81166	436915
188	81702	437043
189	82051	436166
190	82483	435738
191	82879	435118
192	83341	434843
193	83728	434181
194	84141	433649
195	84615	433438
196	85094	433247
197	85545	432910
198	86038	432786
199	86458	432293
200	86871	431764
201	87317	431398
202	88463	434475
203	89103	435035
204	89542	434610
205	89943	433999
206	90474	434015
207	90909	433570
208	91433	433544
209	91918	433328
210	92418	433182
211	92908	432989
212	93369	432656
213	93787	432125
214	94230	431706
215	94734	431568
216	95156	431056
217	95669	430952
218	96164	430764
219	96667	430608
220	97143	430330
221	97638	430135
222	98072	429669
223	98514	429242
224	99013	429057
225	99481	428738
226	99916	428274
227	100406	428050
228	100891	427796
229	101322	427315
230	101789	426988
231	102287	426787
232	102773	426530
233	103210	426076
234	103607	425451
235	104027	424925
236	104477	424522
237	104915	424069
238	105391	423770
239	105765	423061
240	106156	422424
241	106554	421815
242	106953	421212
243	107387	420749
244	107810	420240
245	108153	419424
246	108526	418729
247	108895	418018
248	109276	417357
249	109645	416653
250	110028	416003
251	110439	415461
252	110872	415004
253	111232	414276
254	111739	414093
255	112150	413554
256	112503	412804
257	112907	412242
258	113295	411627
259	113671	410965
260	114070	410391
261	114446	409737
262	114786	408954
263	115156	408281
264	115574	407783
265	115999	407306
266	116414	406795
267	116822	406262
268	117199	405624
269	117594	405046
270	117968	404401
271	118324	403693
272	118709	403088
273	119116	402562
274	119523	402032
275	119903	401416
276	120403	401200
277	122410	405979
278	124666	411532
279	125075	410961
280	125441	410251
281	125804	409535
282	126175	408843
283	126508	408034
284	126892	407390
285	127368	407045
286	127729	406332
287	128130	405745
288	128547	405214
289	129043	404930
290	129480	404460
291	129877	403864
292	130295	403337
293	130686	402728
294	131108	402212
295	131522	401677
296	131963	401222
297	132352	400609
298	132722	399941
299	133160	399480
300	133514	398770
301	133926	398231
302	134375	397803
303	134781	397252
304	135309	397056
305	135703	396466
306	136101	395890
307	136488	395285
308	136884	394705
309	137259	394068
310	137627	393410
311	137997	392761
312	138365	392109
313	138735	391463
314	139701	392493
315	140471	392963
316	140838	392304
317	141226	391703
318	141618	391115
319	142019	390554
320	142443	390054
321	142822	389435
322	143274	389015
323	143659	388413
324	144049	387825
325	144467	387315
326	144874	386774
327	145323	386346
328	145753	385870
329	146194	385421
330	146605	384894
331	146995	384313
332	147405	383785
333	147771	383144
334	148124	382471
335	148558	382006
336	148933	381392
337	149376	380953
338	149796	380456
339	150276	380110
340	151882	382601
341	154318	387148
342	154710	386551
343	155121	385999
344	155513	385403
345	155899	384792
346	156406	384481
347	156865	384050
348	157355	383693
349	157802	383235
350	158384	383101
351	158852	382689
352	159411	382496
353	159928	382201
354	160414	381832
355	160853	381348
356	161284	380848
357	161850	380666
358	162329	380275
359	162736	379718
360	163149	379175
