iter	MultiClass
0	2.285347535
1	2.04126826
2	1.850755248
3	1.695277166
4	1.584926843
5	1.476579486
6	1.398561575
7	1.330468691
8	1.268076701
9	1.216094118
10	1.175751842
11	1.140226813
12	1.099727255
13	1.070150413
14	1.042192201
15	1.010916832
16	0.984236753
17	0.9578567899
18	0.9341284872
19	0.9170808894
20	0.9006391812
21	0.879519737
22	0.8634845076
23	0.8493406032
24	0.836610483
25	0.8255969867
26	0.814313576
27	0.8058164531
28	0.795417208
29	0.7830704393
30	0.7745461478
31	0.7656805016
32	0.7560792296
33	0.7453622139
34	0.7385506626
35	0.7319062101
36	0.7219066505
37	0.7155114453
38	0.7088349266
39	0.7011904228
40	0.6934604799
41	0.6868943125
42	0.6813643498
43	0.6755331193
44	0.6689240146
45	0.6628000775
46	0.6591208177
47	0.6539983873
48	0.6484023799
49	0.6419778042
50	0.6382992299
51	0.6357278688
52	0.6322245847
53	0.6286709368
54	0.6239294084
55	0.6186153054
56	0.6133152857
57	0.6101957035
58	0.6065682508
59	0.603661964
60	0.6004263539
61	0.5966867755
62	0.5916160711
63	0.5888954563
64	0.585251923
65	0.5819605007
66	0.5786699772
67	0.5756479243
68	0.5726981333
69	0.5690702493
70	0.5674174067
71	0.5650163289
72	0.5624876934
73	0.5596394185
74	0.5562236576
75	0.5517187956
76	0.5490595156
77	0.5456032023
78	0.5425886655
79	0.5405270732
80	0.5379640747
81	0.5349656748
82	0.5328765251
83	0.5306924244
84	0.5280678502
85	0.5266921341
86	0.5239073796
87	0.5203692904
88	0.5168157945
89	0.5137785499
90	0.5115695281
91	0.509514927
92	0.5076824894
93	0.505504598
94	0.5026498043
95	0.501246549
96	0.4984013741
97	0.4964105743
98	0.4949140264
99	0.4926202591
100	0.4910607467
101	0.489807688
102	0.4881311234
103	0.4869073166
104	0.4851022142
105	0.482255157
106	0.4801991605
107	0.4778276014
108	0.4755669529
109	0.4735265412
110	0.4715569952
111	0.4698247744
112	0.4679446136
113	0.4665671201
114	0.4648890412
115	0.4624899881
116	0.4614867542
117	0.4602421038
118	0.4584217813
119	0.4573663382
120	0.4561957903
121	0.4550045248
122	0.452958462
123	0.4518487085
124	0.4505603674
125	0.4485526966
126	0.4471663967
127	0.4444653705
128	0.4422812087
129	0.4406937427
130	0.4387729876
131	0.4376707129
132	0.4364577038
133	0.4350897121
134	0.4337821277
135	0.4319429272
136	0.4306945179
137	0.4292607448
138	0.4278734448
139	0.4260627163
140	0.4245413371
141	0.4230798046
142	0.4219214324
143	0.4210364022
144	0.4196858082
145	0.4188756529
146	0.4171238881
147	0.4152612636
148	0.41430008
149	0.4123769402
150	0.4108882391
151	0.4095303432
152	0.4086341907
153	0.4073645919
154	0.4059866782
155	0.4049361088
156	0.4039884933
157	0.4025691229
158	0.4008235912
159	0.3995033584
160	0.3982561918
161	0.3964147772
162	0.3949598541
163	0.3934880314
164	0.3921432807
165	0.3905662145
166	0.3890406913
167	0.3880765857
168	0.3869358089
169	0.3858878688
170	0.383853503
171	0.3825123569
172	0.3812038699
173	0.3804621332
174	0.3789556158
175	0.377990909
176	0.3768581581
177	0.3757150756
178	0.3742487892
179	0.3732164509
180	0.3722315909
181	0.3712460186
182	0.3697707979
183	0.3686189561
184	0.3672854073
185	0.3659707941
186	0.3649187	0.2187	0.3643188	0.188	0.36346189	0.2708570875
190	0.2700384342
191	0.2691167307
192	0.2685777992
193	0.2671367244
194	0.2659406188
195	0.2646938233
196	0.2636967971
197	0.2630169649
198	0.262668994
199	0.2621686615
200	0.2617624783
201	0.2607867488
202	0.2601079441
203	0.2589423803
204	0.2578748734
205	0.2570587948
206	0.2563524899
207	0.2558260597
208	0.254907395
209	0.2536608651
210	0.2523709827
211	0.2515486044
212	0.2509545785
213	0.2500051517
214	0.2489866689
215	0.248294932
216	0.2474877155
217	0.2467509014
218	0.2456815562
219	0.2452327065
220	0.2446365272
221	0.243471323
222	0.2426933977
223	0.240953861
224	0.2401166364
225	0.239296373
226	0.2388842037
227	0.2379280945
228	0.2372225565
229	0.2363526932
230	0.2356156656
231	0.2347766999
232	0.2340649061
233	0.2335215174
234	0.2323696289
235	0.2318612507
236	0.231143351
237	0.2307079308
238	0.2300673131
239	0.2294884927
240	0.2290046086
241	0.2281520869
242	0.2277517614
243	0.2266225373
244	0.2257203012
245	0.2250716794
246	0.224356066
247	0.2236535149
248	0.2220805804
249	0.2215995861
250	0.2205275838
251	0.2198980108
252	0.2189817644
253	0.2186822814
254	0.2183942107
255	0.2174955969
256	0.2168036597
257	0.2160506852
258	0.2152555061
259	0.214477422
260	0.2139716936
261	0.2133209052
262	0.2126526551
263	0.2122384832
264	0.2111769909
265	0.2105363898
266	0.2096753749
267	0.2086591631
268	0.2075887192
269	0.2065541449
270	0.2055519916
271	0.2045262286
272	0.2035386978
273	0.202729681
274	0.201993695
275	0.2013707768
276	0.2008901082
277	0.2007156744
278	0.2002902309
279	0.1998457077
280	0.1991974469
281	0.1990262322
282	0.1984491527
283	0.1978006523
284	0.1971953965
285	0.196152028
286	0.1954960498
287	0.1946949106
288	0.1938905288
289	0.1934965449
290	0.1926619808
291	0.1916989524
292	0.1906944081
293	0.1903877946
294	0.1899614409
295	0.189520945
296	0.1890973873
297	0.1886323498
298	0.1878729611
299	0.1875029517
300	0.1869507271
301	0.1862659546
302	0.1859025265
303	0.1852968479
304	0.1848773015
305	0.1844793413
306	0.18409928
307	0.1836666565
308	0.1831088283
309	0.1827783779
310	0.1823621733
311	0.1820867242
312	0.1818144858
313	0.1814270938
314	0.1810228084
315	0.1805416359
316	0.1803469301
317	0.1795002392
318	0.1786958026
319	0.178198009
320	0.1776725695
321	0.1771255808
322	0.1766537419
323	0.1756989193
324	0.175510591
325	0.1750350682
326	0.1742684767
327	0.1738848721
328	0.1732684448
329	0.1726172816
330	0.1723123151
331	0.1717938649
332	0.1713689572
333	0.1707919083
334	0.1704463991
335	0.1700239872
336	0.169747489
337	0.1693299575
338	0.1691224393
339	0.1687619678
340	0.1681002017
341	0.1678629178
342	0.1676354054
343	0.1671684193
344	0.1666616094
345	0.1661451567
346	0.1656916374
347	0.1651665715
348	0.1648761593
349	0.164308261
350	0.1637124641
351	0.163462654
352	0.1631714187
353	0.1627604045
354	0.1621542301
355	0.1616847948
356	0.1614545385
357	0.1612960232
358	0.161048132
359	0.1606674192
360	0.1602552914
361	0.1599204959
362	0.1594751099
363	0.1591605285
364	0.1588676942
365	0.158659266
366	0.1582802016
367	0.1579636097
368	0.1576586546
369	0.1569177338
370	0.1562669692
371	0.1557026174
372	0.155451815
373	0.1551975762
374	0.1546546726
375	0.1543596111
376	0.1540628064
377	0.1536450492
378	0.1532830658
379	0.1531579375
380	0.1525763027
381	0.1520125759
382	0.1516290674
383	0.151450162
384	0.1509726394
385	0.150662214
386	0.1501972399
387	0.1498377864
388	0.1494835469
389	0.1490860552
390	0.1488159249
391	0.148507659
392	0.1481548571
393	0.1477934066
394	0.1476034166
395	0.147192136
396	0.1468451973
397	0.1464817033
398	0.1460208082
399	0.1455409922
23554
8
4
	0.1270890656
