iter	Passed	Remaining
0	725	289350
1	1420	282741
2	1963	259884
3	2585	255928
4	3146	248602
5	3482	228690
6	4052	227539
7	4470	219077
8	4894	212624
9	5264	205317
10	5641	199507
11	6201	200531
12	6638	197608
13	7036	194004
14	7429	190688
15	7720	185298
16	8103	182575
17	8658	183760
18	9336	187226
19	9906	188232
20	10249	184982
21	10654	183072
22	11349	186033
23	11999	187987
24	12599	188993
25	13109	188568
26	13768	190213
27	14274	189641
28	14809	189459
29	15370	189573
30	16003	190490
31	16428	188928
32	16937	188368
33	17658	190085
34	17992	187637
35	18728	189361
36	19075	187148
37	19577	186500
38	20001	185145
39	20575	185183
40	21184	185494
41	21829	186070
42	22385	185848
43	23159	187378
44	23884	188421
45	24412	187870
46	24858	186699
47	25403	186290
48	25997	186223
49	26379	184657
50	26958	184481
51	27420	183504
52	27861	182415
53	28312	181411
54	28672	179852
55	29138	178993
56	29661	178487
57	30321	178789
58	30840	178246
59	31561	178848
60	32127	178547
61	32521	177294
62	32917	176083
63	33226	174440
64	33597	173155
65	34235	173250
66	34665	172291
67	35108	171413
68	35561	170590
69	36090	170142
70	36542	169331
71	37172	169339
72	37855	169570
73	38415	169234
74	39025	169112
75	39469	168264
76	40074	168106
77	40421	166868
78	40865	166047
79	41315	165262
80	41728	164337
81	42206	163679
82	42646	162879
83	43142	162299
84	43470	161094
85	43921	160363
86	44267	159260
87	44717	158545
88	45151	157774
89	45481	156659
90	45783	155462
91	46342	155146
92	46716	154216
93	47284	153926
94	47806	153483
95	48260	152825
96	48707	152148
97	49171	151529
98	49490	150471
99	49933	149801
100	50505	149515
101	51014	149042
102	51498	148497
103	51981	147947
104	52607	147802
105	53003	147009
106	53451	146367
107	54029	146081
108	54479	145445
109	54988	144970
110	55478	144443
111	55841	143592
112	56238	142835
113	56694	142232
114	57288	141975
115	57825	141572
116	58218	140819
117	58557	139942
118	58877	139030
119	59334	138447
120	59962	138261
121	60426	137693
122	60881	137107
123	61370	136598
124	61869	136113
125	62225	135315
126	62604	134576
127	63104	134097
128	63534	133471
129	64005	132934
130	64506	132459
131	64786	131536
132	65023	130536
133	65466	129955
134	65839	129240
135	66418	128929
136	67015	128649
137	67357	127882
138	67837	127378
139	68178	126616
140	68646	126095
141	69231	125787
142	69580	125049
143	70033	124504
144	70481	123950
145	71216	123897
146	71857	123673
147	72262	123041
148	72699	122467
149	73134	121891
150	73525	121244
151	74032	120790
152	74261	119886
153	74745	119398
154	75383	119153
155	76149	119105
156	76818	118897
157	77225	118281
158	77663	117716
159	78119	117179
160	78548	116602
161	78996	116057
162	79425	115483
163	80073	115227
164	80467	114605
165	80762	113846
166	81227	113329
167	81573	112649
168	81970	112042
169	82266	111301
170	82658	110694
171	83070	110116
172	83599	109693
173	83936	109020
174	84510	108656
175	85050	108245
176	85427	107628
177	85785	106990
178	86074	106271
179	86616	105864
180	86945	105199
181	87320	104592
182	87729	104028
183	88172	103506
184	88437	102778
185	88927	102314
186	89167	101564
187	89654	101100
188	89997	100473
189	90420	99938
190	90896	99462
191	91195	98794
192	91526	98165
193	92023	97715
194	92439	97179
195	92844	96634
196	93318	96160
197	93706	95599
198	94232	95179
199	94531	94531
200	95006	94060
201	95327	93439
202	95638	92812
203	96149	92379
204	96620	91907
205	97058	91404
206	97554	90956
207	97822	90298
208	98060	89615
209	98471	89093
210	98888	88577
211	99207	126639212	9975208	127239	116280
209	127685	115525
210	128204	114836
211	128964	114365
212	129423	113625
213	129762	112784
214	130220	112049
215	130715	111350
216	131150	110601
217	131610	109876
218	131989	109087
219	132582	108476
220	132984	107711
221	133517	107054
222	134188	106508
223	134626	105777
224	134937	104951
225	135510	104330
226	135964	103620
227	136412	102907
228	136799	102151
229	137131	101358
230	137701	100742
231	138345	100181
232	139148	99733
233	139740	99131
234	140609	98725
235	141540	98358
236	142151	97766
237	142615	97074
238	143395	96597
239	143824	95883
240	144333	95224
241	144847	94569
242	145339	93902
243	145755	93187
244	146189	92486
245	146503	91713
246	147027	91073
247	147640	90489
248	148372	89977
249	148626	89175
250	148956	88424
251	149287	87676
252	149709	86985
253	150001	86221
254	150452	85551
255	150956	84913
256	151409	84247
257	151722	83506
258	152020	82760
259	152518	82125
260	152941	81451
261	153509	80856
262	154130	80288
263	154535	79609
264	154949	78936
265	155352	78260
266	155506	77462
267	155753	76714
268	155998	75969
269	156402	75305
270	156892	74683
271	157249	73999
272	157591	73311
273	157924	72622
274	158252	71933
275	158810	71349
276	159185	70685
277	159653	70063
278	160181	69469
279	160507	68788
280	160878	68130
281	161294	67491
282	161676	66841
283	162121	66218
284	162434	65543
285	162898	64931
286	163469	64362
287	163865	63725
288	164392	63140
289	164831	62522
290	165188	61874
291	165486	61207
292	165737	60525
293	166270	59947
294	166622	59306
295	167009	58679
296	167399	58054
297	167638	57379
298	167916	56720
299	168369	56123
300	168769	55508
301	168983	54835
302	169359	54217
303	169612	53561
304	170004	52952
305	170277	52307
306	170688	51706
307	170914	51052
308	171129	50397
309	171414	49765
310	171793	49162
311	172062	48530
312	172477	47941
313	172956	47370
314	173400	46790
315	173797	46199
316	174114	45588
317	174396	44970
318	174657	44348
319	174893	43723
320	175111	43096
321	175367	42480
322	175589	41858
323	175847	41248
324	176168	40654
325	176424	40047
326	176629	39431
327	176839	38818
328	177105	38220
329	177363	37622
330	177553	37012
331	177713	36399
332	177874	35788
333	178009	35175
334	178203	34576
335	178495	33999
336	178723	33411
337	178878	32811
338	179178	32241
339	179409	31660
340	179555	31066
341	179723	30479
342	179854	29888
343	179983	29299
344	180204	28728
345	180346	28146
346	180447	27561
347	180601	26986
348	180717	26408
349	180826	25832
350	180935	25258
351	181047	24688
352	181208	24126
353	181369	23567
354	181484	23005
355	181590	22443
356	181798	21897
357	181937	21344
358	182095	20796
359	182199	20244
360	182344	19699
361	182490	19156
362	182827	18635
363	183039	18102
364	183269	17573
365	183391	17036
366	183497	16499
367	183598	15965
368	183743	15436
369	183851	14906
370	183952	14379
371	184058	13853
372	184273	13338
373	184422	12820
374	184556	12303
375	184662	11786
376	184769	11272
377	184864	10759
378	184985	10249
379	185202	9747
380	185308	9241
381	185403	8736
382	185514	8234
383	185617	7734
384	185701	7235
385	185785	6738
386	185875	6243
387	186056	5754
388	186202	5265
389	186338	4777
390	186433	4291
391	186542	3806
392	186626	3324
393	186722	2843
394	186829	2364
395	186920	1888
396	187002	1413
397	187075	940
398	187209	469
399	187320	0
