State,District,Soil_Percent,N_per_Ha,P_per_Ha,K_per_Ha,Kharif_rain,Rabi_rain,Zaid_rain,Area,Rank,Stand_Soil,Stand_Crop
Andhra Pradesh,Ananthapur,100.0,27.71,17.96,6.99,272.0,148.0,77.0,594.74,1.0,Sandy,['Groundnut']
Andhra Pradesh,Ananthapur,100.0,27.71,17.96,6.99,272.0,148.0,77.0,586.86,2.0,Sandy,['Other']
Andhra Pradesh,Ananthapur,100.0,27.71,17.96,6.99,272.0,148.0,77.0,51.825,3.0,Sandy,['Rice']
Andhra Pradesh,Ananthapur,100.0,27.71,17.96,6.99,272.0,148.0,77.0,43.055,4.0,Sandy,['Other']
Andhra Pradesh,Ananthapur,100.0,27.71,17.96,6.99,272.0,148.0,77.0,24.8,5.0,Sandy,['Pigeonpea']
Andhra Pradesh,Ananthapur,100.0,27.71,17.96,6.99,272.0,148.0,77.0,23.755,6.0,Sandy,['Other']
Andhra Pradesh,Ananthapur,100.0,27.71,17.96,6.99,272.0,148.0,77.0,19.240000000000002,7.0,Sandy,['Fruits']
Andhra Pradesh,Ananthapur,100.0,27.71,17.96,6.99,272.0,148.0,77.0,14.82,8.0,Sandy,['Cotton']
Andhra Pradesh,Ananthapur,100.0,27.71,17.96,6.99,272.0,148.0,77.0,13.975000000000001,9.0,Sandy,['Other Pulse']
Andhra Pradesh,Ananthapur,100.0,27.71,17.96,6.99,272.0,148.0,77.0,11.7,10.0,Sandy,['Ragi']
Andhra Pradesh,Ananthapur,100.0,27.71,17.96,6.99,272.0,148.0,77.0,10.15,11.0,Sandy,['Chickpea']
Andhra Pradesh,Ananthapur,100.0,27.71,17.96,6.99,272.0,148.0,77.0,5.865,12.0,Sandy,['Sunflower']
Andhra Pradesh,Ananthapur,100.0,27.71,17.96,6.99,272.0,148.0,77.0,5.225,13.0,Sandy,['Pearl Millet']
Andhra Pradesh,Ananthapur,100.0,27.71,17.96,6.99,272.0,148.0,77.0,5.15,14.0,Sandy,['Castor']
Andhra Pradesh,Ananthapur,100.0,27.71,17.96,6.99,272.0,148.0,77.0,3.9850000000000003,15.0,Sandy,['Vegetables']
Andhra Pradesh,Ananthapur,100.0,27.71,17.96,6.99,272.0,148.0,77.0,2.475,16.0,Sandy,['Safflower']
Andhra Pradesh,Ananthapur,100.0,27.71,17.96,6.99,272.0,148.0,77.0,1.47,17.0,Sandy,['Fodder']
Andhra Pradesh,Ananthapur,100.0,27.71,17.96,6.99,272.0,148.0,77.0,1.4300000000000002,18.0,Sandy,['Maize']
Andhra Pradesh,Ananthapur,100.0,27.71,17.96,6.99,272.0,148.0,77.0,1.415,19.0,Sandy,['Onion']
Andhra Pradesh,Ananthapur,100.0,27.71,17.96,6.99,272.0,148.0,77.0,1.225,20.0,Sandy,['Sugarcane']
Andhra Pradesh,Ananthapur,100.0,27.71,17.96,6.99,272.0,148.0,77.0,0.425,21.0,Sandy,['Wheat']
Andhra Pradesh,Ananthapur,100.0,27.71,17.96,6.99,272.0,148.0,77.0,0.17,22.0,Sandy,['Sesame']
Andhra Pradesh,Ananthapur,100.0,27.71,17.96,6.99,272.0,148.0,77.0,0.0,23.0,Sandy,['Barley']
Andhra Pradesh,Ananthapur,100.0,27.71,17.96,6.99,272.0,148.0,77.0,0.0,23.0,Sandy,['Linseed']
Andhra Pradesh,Ananthapur,100.0,27.71,17.96,6.99,272.0,148.0,77.0,0.0,23.0,Sandy,['Potato']
Andhra Pradesh,Ananthapur,100.0,27.71,17.96,6.99,272.0,148.0,77.0,0.0,23.0,Sandy,['Other']
Andhra Pradesh,Ananthapur,100.0,27.71,17.96,6.99,272.0,148.0,77.0,0.0,23.0,Sandy,['Soyabean']
Andhra Pradesh,Chittoor,80.0,64.24,23.78,11.79,328.0,270.0,99.0,221.48000000000002,1.0,Sandy,['Other']
Andhra Pradesh,Chittoor,80.0,64.24,23.78,11.79,328.0,270.0,99.0,214.25,2.0,Sandy,['Groundnut']
Andhra Pradesh,Chittoor,80.0,64.24,23.78,11.79,328.0,270.0,99.0,95.04499999999999,3.0,Sandy,['Rice']
Andhra Pradesh,Chittoor,80.0,64.24,23.78,11.79,328.0,270.0,99.0,36.37,4.0,Sandy,['Other']
Andhra Pradesh,Chittoor,80.0,64.24,23.78,11.79,328.0,270.0,99.0,24.045,5.0,Sandy,['Fruits']
Andhra Pradesh,Chittoor,80.0,64.24,23.78,11.79,328.0,270.0,99.0,23.145000000000003,6.0,Sandy,['Sugarcane']
Andhra Pradesh,Chittoor,80.0,64.24,23.78,11.79,328.0,270.0,99.0,15.774999999999999,7.0,Sandy,['Ragi']
Andhra Pradesh,Chittoor,80.0,64.24,23.78,11.79,328.0,270.0,99.0,13.149999999999999,8.0,Sandy,['Other Pulse']
Andhra Pradesh,Chittoor,80.0,64.24,23.78,11.79,328.0,270.0,99.0,10.39,9.0,Sandy,['Vegetables']
Andhra Pradesh,Chittoor,80.0,64.24,23.78,11.79,328.0,270.0,99.0,7.225,10.0,Sandy,['Other']
Andhra Pradesh,Chittoor,80.0,64.24,23.78,11.79,328.0,270.0,99.0,6.529999999999999,11.0,Sandy,['Pigeonpea']
Andhra Pradesh,Chittoor,80.0,64.24,23.78,11.79,328.0,270.0,99.0,4.895,12.0,Sandy,['Pearl Millet']
Andhra Pradesh,Chittoor,80.0,64.24,23.78,11.79,328.0,270.0,99.0,3.0,13.0,Sandy,['Fodder']
Andhra Pradesh,Chittoor,80.0,64.24,23.78,11.79,328.0,270.0,99.0,1.115,14.0,Sandy,['Sesame']
Andhra Pradesh,Chittoor,80.0,64.24,23.78,11.79,328.0,270.0,99.0,0.43000000000000005,15.0,Sandy,['Sunflower']
Andhra Pradesh,Chittoor,80.0,64.24,23.78,11.79,328.0,270.0,99.0,0.39,16.0,Sandy,['Onion']
Andhra Pradesh,Chittoor,80.0,64.24,23.78,11.79,328.0,270.0,99.0,0.31,17.0,Sandy,['Potato']
Andhra Pradesh,Chittoor,80.0,64.24,23.78,11.79,328.0,270.0,99.0,0.3,18.0,Sandy,['Castor']
Andhra Pradesh,Chittoor,80.0,64.24,23.78,11.79,328.0,270.0,99.0,0.3,18.0,Sandy,['Maize']
Andhra Pradesh,Chittoor,80.0,64.24,23.78,11.79,328.0,270.0,99.0,0.0,19.0,Sandy,['Barley']
Andhra Pradesh,Chittoor,80.0,64.24,23.78,11.79,328.0,270.0,99.0,0.0,19.0,Sandy,['Chickpea']
Andhra Pradesh,Chittoor,80.0,64.24,23.78,11.79,328.0,270.0,99.0,0.0,19.0,Sandy,['Cotton']
Andhra Pradesh,Chittoor,80.0,64.24,23.78,11.79,328.0,270.0,99.0,0.0,19.0,Sandy,['Linseed']
Andhra Pradesh,Chittoor,80.0,64.24,23.78,11.79,328.0,270.0,99.0,0.0,19.0,Sandy,['Other']
Andhra Pradesh,Chittoor,80.0,64.24,23.78,11.79,328.0,270.0,99.0,0.0,19.0,Sandy,['Safflower']
Andhra Pradesh,Chittoor,80.0,64.24,23.78,11.79,328.0,270.0,99.0,0.0,19.0,Sandy,['Soyabean']
Andhra Pradesh,Chittoor,80.0,64.24,23.78,11.79,328.0,270.0,99.0,0.0,19.0,Sandy,['Wheat']
Andhra Pradesh,Chittoor,20.0,64.24,23.78,11.79,328.0,270.0,99.0,221.48000000000002,1.0,Loam,['Other']
Andhra Pradesh,Chittoor,20.0,64.24,23.78,11.79,328.0,270.0,99.0,214.25,2.0,Loam,['Groundnut']
Andhra Pradesh,Chittoor,20.0,64.24,23.78,11.79,328.0,270.0,99.0,95.04499999999999,3.0,Loam,['Rice']
Andhra Pradesh,Chittoor,20.0,64.24,23.78,11.79,328.0,270.0,99.0,36.37,4.0,Loam,['Other']
Andhra Pradesh,Chittoor,20.0,64.24,23.78,11.79,328.0,270.0,99.0,24.045,5.0,Loam,['Fruits']
Andhra Pradesh,Chittoor,20.0,64.24,23.78,11.79,328.0,270.0,99.0,23.145000000000003,6.0,Loam,['Sugarcane']
Andhra Pradesh,Chittoor,20.0,64.24,23.78,11.79,328.0,270.0,99.0,15.774999999999999,7.0,Loam,['Ragi']
Andhra Pradesh,Chittoor,20.0,64.24,23.78,11.79,328.0,270.0,99.0,13.149999999999999,8.0,Loam,['Other Pulse']
Andhra Pradesh,Chittoor,20.0,64.24,23.78,11.79,328.0,270.0,99.0,10.39,9.0,Loam,['Vegetables']
Andhra Pradesh,Chittoor,20.0,64.24,23.78,11.79,328.0,270.0,99.0,7.225,10.0,Loam,['Other']
Andhra Pradesh,Chittoor,20.0,64.24,23.78,11.79,328.0,270.0,99.0,6.529999999999999,11.0,Loam,['Pigeonpea']
Andhra Pradesh,Chittoor,20.0,64.24,23.78,11.79,328.0,270.0,99.0,4.895,12.0,Loam,['Pearl Millet']
Andhra Pradesh,Chittoor,20.0,64.24,23.78,11.79,328.0,270.0,99.0,3.0,13.0,Loam,['Fodder']
Andhra Pradesh,Chittoor,20.0,64.24,23.78,11.79,328.0,270.0,99.0,1.115,14.0,Loam,['Sesame']
Andhra Pradesh,Chittoor,20.0,64.24,23.78,11.79,328.0,270.0,99.0,0.43000000000000005,15.0,Loam,['Sunflower']
Andhra Pradesh,Chittoor,20.0,64.24,23.78,11.79,328.0,270.0,99.0,0.39,16.0,Loam,['Onion']
Andhra Pradesh,Chittoor,20.0,64.24,23.78,11.79,328.0,270.0,99.0,0.31,17.0,Loam,['Potato']
Andhra Pradesh,Chittoor,20.0,64.24,23.78,11.79,328.0,270.0,99.0,0.3,18.0,Loam,['Castor']
Andhra Pradesh,Chittoor,20.0,64.24,23.78,11.79,328.0,270.0,99.0,0.3,18.0,Loam,['Maize']
Andhra Pradesh,Chittoor,20.0,64.24,23.78,11.79,328.0,270.0,99.0,0.0,19.0,Loam,['Barley']
Andhra Pradesh,Chittoor,20.0,64.24,23.78,11.79,328.0,270.0,99.0,0.0,19.0,Loam,['Chickpea']
Andhra Pradesh,Chittoor,20.0,64.24,23.78,11.79,328.0,270.0,99.0,0.0,19.0,Loam,['Cotton']
Andhra Pradesh,Chittoor,20.0,64.24,23.78,11.79,328.0,270.0,99.0,0.0,19.0,Loam,['Linseed']
Andhra Pradesh,Chittoor,20.0,64.24,23.78,11.79,328.0,270.0,99.0,0.0,19.0,Loam,['Other']
Andhra Pradesh,Chittoor,20.0,64.24,23.78,11.79,328.0,270.0,99.0,0.0,19.0,Loam,['Safflower']
Andhra Pradesh,Chittoor,20.0,64.24,23.78,11.79,328.0,270.0,99.0,0.0,19.0,Loam,['Soyabean']
Andhra Pradesh,Chittoor,20.0,64.24,23.78,11.79,328.0,270.0,99.0,0.0,19.0,Loam,['Wheat']
Andhra Pradesh,East Godavari,65.0,197.19,61.68,33.52,608.0,406.0,74.0,382.245,1.0,Loam,['Rice']
Andhra Pradesh,East Godavari,65.0,197.19,61.68,33.52,608.0,406.0,74.0,70.505,2.0,Loam,['Other']
Andhra Pradesh,East Godavari,65.0,197.19,61.68,33.52,608.0,406.0,74.0,54.76,3.0,Loam,['Other']
Andhra Pradesh,East Godavari,65.0,197.19,61.68,33.52,608.0,406.0,74.0,50.18,4.0,Loam,['Fruits']
Andhra Pradesh,East Godavari,65.0,197.19,61.68,33.52,608.0,406.0,74.0,49.655,5.0,Loam,['Other Pulse']
Andhra Pradesh,East Godavari,65.0,197.19,61.68,33.52,608.0,406.0,74.0,18.450000000000003,6.0,Loam,['Vegetables']
Andhra Pradesh,East Godavari,65.0,197.19,61.68,33.52,608.0,406.0,74.0,16.0,7.0,Loam,['Sugarcane']
Andhra Pradesh,East Godavari,65.0,197.19,61.68,33.52,608.0,406.0,74.0,11.335,8.0,Loam,['Sesame']
Andhra Pradesh,East Godavari,65.0,197.19,61.68,33.52,608.0,406.0,74.0,9.405000000000001,9.0,Loam,['Pearl Millet']
Andhra Pradesh,East Godavari,65.0,197.19,61.68,33.52,608.0,406.0,74.0,9.010000000000002,10.0,Loam,['Fodder']
Andhra Pradesh,East Godavari,65.0,197.19,61.68,33.52,608.0,406.0,74.0,6.15,11.0,Loam,['Groundnut']
Andhra Pradesh,East Godavari,65.0,197.19,61.68,33.52,608.0,406.0,74.0,5.0,12.0,Loam,['Cotton']
Andhra Pradesh,East Godavari,65.0,197.19,61.68,33.52,608.0,406.0,74.0,4.4,13.0,Loam,['Pigeonpea']
Andhra Pradesh,East Godavari,65.0,197.19,61.68,33.52,608.0,406.0,74.0,3.475,14.0,Loam,['Maize']
Andhra Pradesh,East Godavari,65.0,197.19,61.68,33.52,608.0,406.0,74.0,1.875,15.0,Loam,['Other']
Andhra Pradesh,East Godavari,65.0,197.19,61.68,33.52,608.0,406.0,74.0,1.0,16.0,Loam,['Ragi']
Andhra Pradesh,East Godavari,65.0,197.19,61.68,33.52,608.0,406.0,74.0,0.395,17.0,Loam,['Onion']
Andhra Pradesh,East Godavari,65.0,197.19,61.68,33.52,608.0,406.0,74.0,0.1,18.0,Loam,['Chickpea']
Andhra Pradesh,East Godavari,65.0,197.19,61.68,33.52,608.0,406.0,74.0,0.02,19.0,Loam,['Castor']
Andhra Pradesh,East Godavari,65.0,197.19,61.68,33.52,608.0,406.0,74.0,0.0,20.0,Loam,['Barley']
Andhra Pradesh,East Godavari,65.0,197.19,61.68,33.52,608.0,406.0,74.0,0.0,20.0,Loam,['Linseed']
Andhra Pradesh,East Godavari,65.0,197.19,61.68,33.52,608.0,406.0,74.0,0.0,20.0,Loam,['Potato']
Andhra Pradesh,East Godavari,65.0,197.19,61.68,33.52,608.0,406.0,74.0,0.0,20.0,Loam,['Other']
Andhra Pradesh,East Godavari,65.0,197.19,61.68,33.52,608.0,406.0,74.0,0.0,20.0,Loam,['Safflower']
Andhra Pradesh,East Godavari,65.0,197.19,61.68,33.52,608.0,406.0,74.0,0.0,20.0,Loam,['Soyabean']
Andhra Pradesh,East Godavari,65.0,197.19,61.68,33.52,608.0,406.0,74.0,0.0,20.0,Loam,['Sunflower']
Andhra Pradesh,East Godavari,65.0,197.19,61.68,33.52,608.0,406.0,74.0,0.0,20.0,Loam,['Wheat']
Andhra Pradesh,East Godavari,35.0,197.19,61.68,33.52,608.0,406.0,74.0,382.245,1.0,Sandy,['Rice']
Andhra Pradesh,East Godavari,35.0,197.19,61.68,33.52,608.0,406.0,74.0,70.505,2.0,Sandy,['Other']
Andhra Pradesh,East Godavari,35.0,197.19,61.68,33.52,608.0,406.0,74.0,54.76,3.0,Sandy,['Other']
Andhra Pradesh,East Godavari,35.0,197.19,61.68,33.52,608.0,406.0,74.0,50.18,4.0,Sandy,['Fruits']
Andhra Pradesh,East Godavari,35.0,197.19,61.68,33.52,608.0,406.0,74.0,49.655,5.0,Sandy,['Other Pulse']
Andhra Pradesh,East Godavari,35.0,197.19,61.68,33.52,608.0,406.0,74.0,18.450000000000003,6.0,Sandy,['Vegetables']
Andhra Pradesh,East Godavari,35.0,197.19,61.68,33.52,608.0,406.0,74.0,16.0,7.0,Sandy,['Sugarcane']
Andhra Pradesh,East Godavari,35.0,197.19,61.68,33.52,608.0,406.0,74.0,11.335,8.0,Sandy,['Sesame']
Andhra Pradesh,East Godavari,35.0,197.19,61.68,33.52,608.0,406.0,74.0,9.405000000000001,9.0,Sandy,['Pearl Millet']
Andhra Pradesh,East Godavari,35.0,197.19,61.68,33.52,608.0,406.0,74.0,9.010000000000002,10.0,Sandy,['Fodder']
Andhra Pradesh,East Godavari,35.0,197.19,61.68,33.52,608.0,406.0,74.0,6.15,11.0,Sandy,['Groundnut']
Andhra Pradesh,East Godavari,35.0,197.19,61.68,33.52,608.0,406.0,74.0,5.0,12.0,Sandy,['Cotton']
Andhra Pradesh,East Godavari,35.0,197.19,61.68,33.52,608.0,406.0,74.0,4.4,13.0,Sandy,['Pigeonpea']
Andhra Pradesh,East Godavari,35.0,197.19,61.68,33.52,608.0,406.0,74.0,3.475,14.0,Sandy,['Maize']
Andhra Pradesh,East Godavari,35.0,197.19,61.68,33.52,608.0,406.0,74.0,1.875,15.0,Sandy,['Other']
Andhra Pradesh,East Godavari,35.0,197.19,61.68,33.52,608.0,406.0,74.0,1.0,16.0,Sandy,['Ragi']
Andhra Pradesh,East Godavari,35.0,197.19,61.68,33.52,608.0,406.0,74.0,0.395,17.0,Sandy,['Onion']
Andhra Pradesh,East Godavari,35.0,197.19,61.68,33.52,608.0,406.0,74.0,0.1,18.0,Sandy,['Chickpea']
Andhra Pradesh,East Godavari,35.0,197.19,61.68,33.52,608.0,406.0,74.0,0.02,19.0,Sandy,['Castor']
Andhra Pradesh,East Godavari,35.0,197.19,61.68,33.52,608.0,406.0,74.0,0.0,20.0,Sandy,['Barley']
Andhra Pradesh,East Godavari,35.0,197.19,61.68,33.52,608.0,406.0,74.0,0.0,20.0,Sandy,['Linseed']
Andhra Pradesh,East Godavari,35.0,197.19,61.68,33.52,608.0,406.0,74.0,0.0,20.0,Sandy,['Potato']
Andhra Pradesh,East Godavari,35.0,197.19,61.68,33.52,608.0,406.0,74.0,0.0,20.0,Sandy,['Other']
Andhra Pradesh,East Godavari,35.0,197.19,61.68,33.52,608.0,406.0,74.0,0.0,20.0,Sandy,['Safflower']
Andhra Pradesh,East Godavari,35.0,197.19,61.68,33.52,608.0,406.0,74.0,0.0,20.0,Sandy,['Soyabean']
Andhra Pradesh,East Godavari,35.0,197.19,61.68,33.52,608.0,406.0,74.0,0.0,20.0,Sandy,['Sunflower']
Andhra Pradesh,East Godavari,35.0,197.19,61.68,33.52,608.0,406.0,74.0,0.0,20.0,Sandy,['Wheat']
Andhra Pradesh,Guntur,40.0,159.58,70.83,21.92,468.0,181.0,55.0,359.0,1.0,Loam,['Rice']
Andhra Pradesh,Guntur,40.0,159.58,70.83,21.92,468.0,181.0,55.0,159.625,2.0,Loam,['Cotton']
Andhra Pradesh,Guntur,40.0,159.58,70.83,21.92,468.0,181.0,55.0,120.405,3.0,Loam,['Other Pulse']
Andhra Pradesh,Guntur,40.0,159.58,70.83,21.92,468.0,181.0,55.0,57.845,4.0,Loam,['Fodder']
Andhra Pradesh,Guntur,40.0,159.58,70.83,21.92,468.0,181.0,55.0,57.0,5.0,Loam,['Other']
Andhra Pradesh,Guntur,40.0,159.58,70.83,21.92,468.0,181.0,55.0,37.254999999999995,6.0,Loam,['Other']
Andhra Pradesh,Guntur,40.0,159.58,70.83,21.92,468.0,181.0,55.0,29.75,7.0,Loam,['Pigeonpea']
Andhra Pradesh,Guntur,40.0,159.58,70.83,21.92,468.0,181.0,55.0,27.310000000000002,8.0,Loam,['Groundnut']
Andhra Pradesh,Guntur,40.0,159.58,70.83,21.92,468.0,181.0,55.0,27.175,9.0,Loam,['Other']
Andhra Pradesh,Guntur,40.0,159.58,70.83,21.92,468.0,181.0,55.0,15.715,10.0,Loam,['Pearl Millet']
Andhra Pradesh,Guntur,40.0,159.58,70.83,21.92,468.0,181.0,55.0,14.260000000000002,11.0,Loam,['Fruits']
Andhra Pradesh,Guntur,40.0,159.58,70.83,21.92,468.0,181.0,55.0,12.844999999999999,12.0,Loam,['Vegetables']
Andhra Pradesh,Guntur,40.0,159.58,70.83,21.92,468.0,181.0,55.0,12.6,13.0,Loam,['Sesame']
Andhra Pradesh,Guntur,40.0,159.58,70.83,21.92,468.0,181.0,55.0,10.42,14.0,Loam,['Castor']
Andhra Pradesh,Guntur,40.0,159.58,70.83,21.92,468.0,181.0,55.0,8.375,15.0,Loam,['Maize']
Andhra Pradesh,Guntur,40.0,159.58,70.83,21.92,468.0,181.0,55.0,7.07,16.0,Loam,['Chickpea']
Andhra Pradesh,Guntur,40.0,159.58,70.83,21.92,468.0,181.0,55.0,3.6,17.0,Loam,['Ragi']
Andhra Pradesh,Guntur,40.0,159.58,70.83,21.92,468.0,181.0,55.0,2.98,18.0,Loam,['Sugarcane']
Andhra Pradesh,Guntur,40.0,159.58,70.83,21.92,468.0,181.0,55.0,1.1600000000000001,19.0,Loam,['Sunflower']
Andhra Pradesh,Guntur,40.0,159.58,70.83,21.92,468.0,181.0,55.0,0.905,20.0,Loam,['Onion']
Andhra Pradesh,Guntur,40.0,159.58,70.83,21.92,468.0,181.0,55.0,0.705,21.0,Loam,['Other']
Andhra Pradesh,Guntur,40.0,159.58,70.83,21.92,468.0,181.0,55.0,0.0,22.0,Loam,['Barley']
Andhra Pradesh,Guntur,40.0,159.58,70.83,21.92,468.0,181.0,55.0,0.0,22.0,Loam,['Linseed']
Andhra Pradesh,Guntur,40.0,159.58,70.83,21.92,468.0,181.0,55.0,0.0,22.0,Loam,['Potato']
Andhra Pradesh,Guntur,40.0,159.58,70.83,21.92,468.0,181.0,55.0,0.0,22.0,Loam,['Safflower']
Andhra Pradesh,Guntur,40.0,159.58,70.83,21.92,468.0,181.0,55.0,0.0,22.0,Loam,['Soyabean']
Andhra Pradesh,Guntur,40.0,159.58,70.83,21.92,468.0,181.0,55.0,0.0,22.0,Loam,['Wheat']
