iter	Accuracy	MultiClass
0	0.4973831807	2.362378175
1	0.5988253855	2.212424563
2	0.6183196828	2.095514833
3	0.62845578	2.001380537
4	0.6267182765	1.920353556
5	0.6461936693	1.847581307
6	0.6491754937	1.776281303
7	0.649353871	1.73488925
8	0.6559908729	1.686016015
9	0.6616556894	1.636069066
10	0.6569461909	1.589814124
11	0.6651208466	1.548875773
12	0.6666186775	1.51902719
13	0.6652667599	1.492015858
14	0.6736450706	1.454377276
15	0.6786803498	1.422004616
16	0.6784647962	1.392904104
17	0.6828155951	1.362951021
18	0.6861191156	1.334912408
19	0.6875713617	1.311447099
20	0.6885342941	1.288689629
21	0.6924551579	1.262998085
22	0.6920163011	1.244419683
23	0.6913679704	1.227203912
24	0.6916249658	1.210537725
25	0.6937930819	1.191255168
26	0.6940691763	1.178455424
27	0.6934623825	1.16312388
28	0.6931070898	1.156197503
29	0.6946734256	1.142898776
30	0.6943797162	1.128205541
31	0.6951825089	1.118121094
32	0.6967210425	1.105898549
33	0.7001541233	1.092275652
34	0.701790605	1.079448448
35	0.7033809907	1.068553664
36	0.7043916428	1.057250224
37	0.7037948161	1.046459493
38	0.704051252	1.039756723
39	0.7050947203	1.028896537
40	0.7064790064	1.026340607
41	0.711882754	1.01453177
42	0.7126007938	1.005458259
43	0.7126102053	1.005188634
44	0.7164531043	0.9942977756
45	0.7161053696	0.9857185708
46	0.7160098359	0.9797515775
47	0.7174732657	0.9700671037
48	0.719961653	0.9610688025
49	0.7185996498	0.9590338099
50	0.7228042399	0.9506888242
51	0.7236829693	0.9506369083
52	0.7266725632	0.9427640518
53	0.7288414741	0.9365194521
54	0.7328904937	0.9305673598
55	0.7329538331	0.9230665846
56	0.7348721791	0.9170933101
57	0.7358513279	0.9098419048
58	0.7357738805	0.9036887623
59	0.7389452793	0.8966506766
60	0.740081644	0.8914407514
61	0.7418112162	0.8834748108
62	0.7442407884	0.878491646
63	0.7427371331	0.8775923546
64	0.7439301337	0.8722596942
65	0.7461435159	0.865780322
66	0.7453422338	0.8643551771
67	0.7493661513	0.8587869998
68	0.7501729933	0.8554281611
69	0.7508193806	0.8510285739
70	0.7495852507	0.8461888801
71	0.7510610194	0.8417549006
72	0.7519401815	0.8391392262
73	0.7513427095	0.8364566984
74	0.7555406861	0.8318226425
75	0.7560364953	0.8259357244
76	0.7544860851	0.8199961975
77	0.7547729024	0.8165462503
78	0.754877371	0.8120206685
79	0.7587262934	0.8077976796
80	0.7598652515	0.8056376346
81	0.7601475868	0.8008876804
82	0.7597328962	0.7989923079
83	0.760944387	0.7961278533
84	0.7609992949	0.7953298683
85	0.7619829256	0.7915950609
86	0.7617776049	0.7886564557
87	0.762216511	0.7849282322
88	0.7621390637	0.7824251108
89	0.7615920178	0.7793219582
90	0.7622883985	0.776853146
91	0.7619863446	0.7753331155
92	0.7631901	0.7736291482
93	0.7617445911	0.7717781764
94	0.7619773658	0.7717450829
95	0.7643322966	0.7704910706
96	0.7644904298	0.7680674608
97	0.7660129533	0.7642233198
98	0.7663874948	0.7611794193
99	0.7665698434	0.7611489531
100	0.7651655295	0.7574224399
101	0.7682410565	0.753872617
102	0.7683185038	0.7538047211
103	0.7715855071	0.7518159537
104	0.7718957291	0.7496787623
105	0.7737149921	0.7468387676
106	0.7737924394	0.745865535
107	0.7739551911	0.7432263191
108	0.7737224164	0.7417819818
109	0.7730749511	0.7401257841
110	0.7734121944	0.7381110848
111	0.773594543	0.7380863011
112	0.7735170957	0.737800552
113	0.7755903364	0.7340425317
114	0.7752256391	0.7316921681
115	0.7763911858	0.7277498595
116	0.7771710064	0.726386384
117	0.7769667636	0.7223545854
118	0.7769667636	0.7223318358
119	0.7779004009	0.7208983328
120	0.7780552956	0.7206531429
121	0.7780552956	0.7205459353
122	0.7780552956	0.7201703069
123	0.7790663803	0.7177998268
124	0.7805535297	0.713432284
125	0.7808457092	0.7109388496
126	0.7813058963	0.7104691072
127	0.7802536166	0.7079873649
128	0.7817229081	0.7044574226
129	0.7817499294	0.7026742726
130	0.7832261308	0.7005820765
131	0.7833540041	0.6984277596
132	0.783246373	0.6968473956
133	0.7833963122	0.6950430984
134	0.7845079968	0.6929448045
135	0.784567247	0.6921860836
136	0.7852597761	0.6911864504
137	0.7852597761	0.6894699237
138	0.7864999643	0.6875313095
139	0.7860084715	0.684803108
140	0.7860859189	0.6847865959
141	0.7876110357	0.6835342044
142	0.7889803925	0.6807599619
143	0.7890074138	0.6789919772
144	0.7893450898	0.6768086083
145	0.7895274384	0.6767747851
146	0.7897597804	0.6745173649
147	0.7905125797	0.6714855867
148	0.790539601	0.6699174756
149	0.7896334177	0.6670244223
150	0.7905951542	0.6647664408
151	0.7919215881	0.6617514507
152	0.7918437081	0.6595316694
153	0.7928273388	0.6590962124
154	0.7942260929	0.6571591145
155	0.7945907902	0.6556101217
156	0.7944084415	0.6528681064
157	0.7944858888	0.6495738043
158	0.7954695196	0.6480264282
159	0.7956244142	0.6461166812
160	0.7960312479	0.6443731604
161	0.7970351209	0.6420528681
162	0.7968527722	0.6400428179
163	0.7977044803	0.6390690883
164	0.8007749562	0.6365888444
165	0.8008483543	0.6341467438
166	0.8007979282	0.631525316
167	0.8007979282	0.6314940892
168	0.8016615889	0.6290250178
169	0.8035314522	0.6260587073
170	0.8037138008	0.6246941021
171	0.804547664	0.6222457511
172	0.8050402347	0.6193955844
173	0.8051300209	0.6177855414
174	0.8056917493	0.6163587089
175	0.8056917493	0.6142952166
176	0.8057421753	0.6117943481
177	0.805924524	0.6101483136
178	0.8059666603	0.6074955703
179	0.8069502911	0.6056817989
180	0.8070630493	0.6034515956
181	0.8069283969	0.6013728112
182	0.8072930942	0.5993379463
183	0.8071611716	0.5969103536
184	0.8095980316	0.5947293152
185	0.8103635701	0.5918331625
186	0.8111306191	0.5897656049
187	0.8101469884	0.5877030411
188	0.8116909974	0.5856397687
189	0.8122527258	0.5832632291
190	0.8120474051	0.5814417937
191	0.8121184596	0.579038222
192	0.8143776358	0.5765250892
193	0.8145746669	0.5745661211
194	0.8153000122	0.5720966756
195	0.8163900807	0.5702055361
196	0.818048198	0.5676573192
197	0.8196507622	0.565572123
198	0.8197282095	0.5630253133
199	0.8213637875	0.560246761
200	0.8236119892	0.5578973167
201	0.8232472919	0.5561710562
202	0.8240688162	0.55400109
203	0.8256989051	0.5522629596
204	0.8266050885	0.5498563386
205	0.8278714872	0.5475573431
206	0.8276891386	0.5458761534
207	0.8278142821	0.5440538368
208	0.8277451245	0.5417432527
209	0.8285464065	0.5401419576
210	0.8288062025	0.537883684
211	0.8288836498	0.5355724962
212	0.8296551808	0.5327879549
213	0.8309132899	0.5304704617
214	0.8308083886	0.529193305
215	0.8314750183	0.5273422387
216	0.8323597402	0.5251526923
217	0.8326195362	0.5234985673
218	0.8342100762	0.5214525432
219	0.8351668573	0.519549384
220	0.835349206	0.5183003939
221	0.8371901047	0.5165640098
222	0.8383189495	0.5144506928
223	0.8386983292	0.5124236152
224	0.8405717245	0.5108777753
225	0.8402522082	0.5087441621
226	0.8409188379	0.5069927334
227	0.8410590501	0.505508631
228	0.8426182587	0.504157565
229	0.8435188822	0.5020541015
230	0.8459577222	0.5003265866
231	0.8470815652	0.4989730808
232	0.8469766639	0.4972784945
233	0.8477481948	0.4959515414
234	0.8487520678	0.4940725014
235	0.8494337662	0.4922449288
236	0.8498488895	0.4906256799
237	0.8496721007	0.4887052293
238	0.8522550305	0.4871240642
239	0.8532890872	0.4849168503
240	0.8555299096	0.4829429954
241	0.8563137795	0.4812816036
242	0.8578944495	0.4796148965
243	0.8577121009	0.4783874325
244	0.8577895482	0.4770652017
245	0.8581542455	0.4754616361
246	0.8583365941	0.4743045816
247	0.8604879452	0.4728870863
248	0.8611486779	0.4708856632
249	0.8634526025	0.4691093302
250	0.8636349511	0.4680804778
251	0.8636765916	0.466769762
252	0.8643275975	0.4644658349
253	0.8667516859	0.4624720041
254	0.8673408682	0.4607502007
255	0.8683030375	0.4592182876
256	0.8687451821	0.4574663624
257	0.8680608254	0.4558236946
258	0.8683778265	0.4542287816
259	0.8691219035	0.4530455225
260	0.8719275861	0.4516676624
261	0.8715234108	0.4501925249
262	0.8730060049	0.4493477611
263	0.8746645549	0.4477123525
264	0.874067083	0.4465952681
265	0.8744317803	0.4454898018
266	0.8763775802	0.4440156501
267	0.8769965136	0.4426650293
268	0.8787703958	0.4408577923
